"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
601,"Tiefer Fall","MDR","12.6.2005","Ehrlicher und Kain",38,"Pim Richter","Thomas Freundner",""
602,"Todesengel","Radio Bremen","10.7.2005","Lürsen und Stedefreund",13,"Thorsten Näter","Thorsten Näter",""
603,"Bienzle und der Sizilianer","SWR","24.7.2005","Bienzle",21,"Felix Huby, Zoram Solomun","Hartmut Griesmayr",""
604,"Der Teufel vom Berg","ORF","07.8.2005","Eisner",13,"Felix Mitterer","Thomas Roth","Erstausstrahlung am 19. Dezember 2004 auf ORF 2. Erst nach der Erstausstrahlung zum Tatort umgewidmet."
605,"Erfroren","WDR","21.8.2005","Ballauf und Schenk",32,"Stephan Brüggenthies, Patrick Gurris","Züli Aladag",""
606,"Ohne Beweise","SWR","28.8.2005","Odenthal und Kopper",35,"Martin Pristl","Jürgen Bretzinger",""
607,"Requiem","Radio Bremen","25.9.2005","Lürsen und Stedefreund",14,"Thorsten Näter","Thorsten Näter",""
608,"Borowski in der Unterwelt","NDR","02.10.2005","Borowski",5,"Sascha Arango","Claudia Garde",""
609,"Leerstand","HR","09.10.2005","Dellwo und Sänger",7,"Niki Stein","Niki Stein",""
610,"Leiden wie ein Tier","RBB","16.10.2005","Ritter und Stark",19,"Scarlett Kleint, Ilse Biberti","Uwe Janson",""
611,"Atemnot","NDR","23.10.2005","Lindholm",7,"Thorsten Näter, Verena Mahlow","Thomas Jauch",""
612,"Freischwimmer","MDR","30.10.2005","Ehrlicher und Kain",39,"Mario Giordano, Andreas Schlüter","Helmut Metzger",""
613,"Tod auf der Walz","BR","06.11.2005","Batic und Leitmayr",41,"Markus Fenner","Martin Enlen",""
614,"Rache-Engel","SR","13.11.2005","Palu",18,"Jochen Senf, Andreas Föhr, Thomas Letocha","Robert Sigl","Letzter Fall dieses Ermittlerteams"
615,"Der doppelte Lott","WDR","20.11.2005","Thiel und Boerne",8,"Jan Hinter, Stefan Cantz","Manfred Stelzer",""
616,"Im Alleingang","NDR","27.11.2005","Casstorff und Holicek",10,"Rainer Butt","Richard Huber",""
617,"Schneetreiben","BR","18.12.2005","Batic und Leitmayr",42,"Claus Cornelius Fischer","Tobias Ineichen","Deutscher Fernsehpreis 2006 (Beste Musik) an Fabian Römer"
618,"Das Lächeln der Madonna","SWR","25.12.2005","Blum und Perlmann",8,"Kai-Uwe Hasenheit","Christoph Stark",""
